Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Mana Infused Ore
appliedenergistics2:facade:0, Cable Facade - Oil Sand
appliedenergistics2:facade:0, Cable Facade - Oil Shale
appliedenergistics2:facade:0, Cable Facade - Destabilized Redstone Ore
appliedenergistics2:facade:0, Cable Facade - Energized Netherrack
appliedenergistics2:facade:0, Cable Facade - Resonant End Stone
appliedenergistics2:facade:0, Cable Facade - Copper Block
appliedenergistics2:facade:0, Cable Facade - Tin Block
appliedenergistics2:facade:0, Cable Facade - Silver Block
appliedenergistics2:facade:0, Cable Facade - Lead Block
appliedenergistics2:facade:0, Cable Facade - Aluminum Block
appliedenergistics2:facade:0, Cable Facade - Nickel Block
appliedenergistics2:facade:0, Cable Facade - Platinum Block
appliedenergistics2:facade:0, Cable Facade - Iridium Block
appliedenergistics2:facade:0, Cable Facade - Mana Infused Block
appliedenergistics2:facade:0, Cable Facade - Steel Block
appliedenergistics2:facade:0, Cable Facade - Electrum Block
appliedenergistics2:facade:0, Cable Facade - Invar Block
appliedenergistics2:facade:0, Cable Facade - Bronze Block
appliedenergistics2:facade:0, Cable Facade - Constantan Block
appliedenergistics2:facade:0, Cable Facade - Signalum Block
appliedenergistics2:facade:0, Cable Facade - Lumium Block
appliedenergistics2:facade:0, Cable Facade - Enderium Block
appliedenergistics2:facade:0, Cable Facade - Black Rockwool
appliedenergistics2:facade:0, Cable Facade - Red Rockwool
appliedenergistics2:facade:0, Cable Facade - Green Rockwool
appliedenergistics2:facade:0, Cable Facade - Brown Rockwool
appliedenergistics2:facade:0, Cable Facade - Blue Rockwool
appliedenergistics2:facade:0, Cable Facade - Purple Rockwool
appliedenergistics2:facade:0, Cable Facade - Cyan Rockwool
appliedenergistics2:facade:0, Cable Facade - Light Gray Rockwool
appliedenergistics2:facade:0, Cable Facade - Gray Rockwool
appliedenergistics2:facade:0, Cable Facade - Pink Rockwool
appliedenergistics2:facade:0, Cable Facade - Lime Rockwool
appliedenergistics2:facade:0, Cable Facade - Yellow Rockwool
appliedenergistics2:facade:0, Cable Facade - Light Blue Rockwool
appliedenergistics2:facade:0, Cable Facade - Magenta Rockwool
appliedenergistics2:facade:0, Cable Facade - Orange Rockwool
appliedenergistics2:facade:0, Cable Facade - White Rockwool
appliedenergistics2:facade:0, Cable Facade - Fluxed Plank
appliedenergistics2:facade:0, Cable Facade - Imbued Plank
appliedenergistics2:facade:0, Cable Facade - Fluxed Log
appliedenergistics2:facade:0, Cable Facade - Imbued Log
appliedenergistics2:facade:0, Cable Facade - Totem
appliedenergistics2:facade:0, Cable Facade - Totem
appliedenergistics2:facade:0, Cable Facade - Totem
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:34, 128³ Spatial Component
appliedenergistics2:material:33, 16³ Spatial Component
appliedenergistics2:material:37, 16k ME Storage Component
appliedenergistics2:material:35, 1k ME Storage Component
appliedenergistics2:material:32, 2³ Spatial Component
appliedenergistics2:material:36, 4k ME Storage Component
appliedenergistics2:material:38, 64k ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:2, Certus Quartz Dust
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:8, Fluix Dust
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:3, Nether Quartz Dust
appliedenergistics2:material:10, Pure Certus Quartz Crystal
appliedenergistics2:material:12, Pure Fluix Crystal
appliedenergistics2:material:11, Pure Nether Quartz Crystal
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:45, Sky Stone Dust
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:material:40, Wooden Gear
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
appliedenergistics2:part:34, ME Covered Cable - Red
appliedenergistics2:part:35, ME Covered Cable - Black
appliedenergistics2:part:36, ME Covered Cable - Fluix
appliedenergistics2:part:60, ME Dense Cable - White
appliedenergistics2:part:61, ME Dense Cable - Orange
appliedenergistics2:part:62, ME Dense Cable - Magenta
appliedenergistics2:part:63, ME Dense Cable - Light Blue
appliedenergistics2:part:64, ME Dense Cable - Yellow
appliedenergistics2:part:65, ME Dense Cable - Lime
appliedenergistics2:part:66, ME Dense Cable - Pink
appliedenergistics2:part:67, ME Dense Cable - Gray
appliedenergistics2:part:68, ME Dense Cable - Light Gray
appliedenergistics2:part:69, ME Dense Cable - Cyan
appliedenergistics2:part:70, ME Dense Cable - Purple
appliedenergistics2:part:71, ME Dense Cable - Blue
appliedenergistics2:part:72, ME Dense Cable - Brown
appliedenergistics2:part:73, ME Dense Cable - Green
appliedenergistics2:part:74, ME Dense Cable - Red
appliedenergistics2:part:75, ME Dense Cable - Black
appliedenergistics2:part:76, ME Dense Cable - Fluix
appliedenergistics2:part:0, ME Glass Cable - White
appliedenergistics2:part:1, ME Glass Cable - Orange
appliedenergistics2:part:2, ME Glass Cable - Magenta
appliedenergistics2:part:3, ME Glass Cable - Light Blue
appliedenergistics2:part:4, ME Glass Cable - Yellow
appliedenergistics2:part:5, ME Glass Cable - Lime
appliedenergistics2:part:6, ME Glass Cable - Pink
appliedenergistics2:part:7, ME Glass Cable - Gray
appliedenergistics2:part:8, ME Glass Cable - Light Gray
appliedenergistics2:part:9, ME Glass Cable - Cyan
appliedenergistics2:part:10, ME Glass Cable - Purple
appliedenergistics2:part:11, ME Glass Cable - Blue
appliedenergistics2:part:12, ME Glass Cable - Brown
appliedenergistics2:part:13, ME Glass Cable - Green
appliedenergistics2:part:14, ME Glass Cable - Red
appliedenergistics2:part:15, ME Glass Cable - Black
appliedenergistics2:part:16, ME Glass Cable - Fluix
appliedenergistics2:part:40, ME Smart Cable - White
appliedenergistics2:part:41, ME Smart Cable - Orange
appliedenergistics2:part:42, ME Smart Cable - Magenta
appliedenergistics2:part:43, ME Smart Cable - Light Blue
appliedenergistics2:part:44, ME Smart Cable - Yellow
appliedenergistics2:part:45, ME Smart Cable - Lime
appliedenergistics2:part:46, ME Smart Cable - Pink
appliedenergistics2:part:47, ME Smart Cable - Gray
appliedenergistics2:part:48, ME Smart Cable - Light Gray
appliedenergistics2:part:49, ME Smart Cable - Cyan
appliedenergistics2:part:50, ME Smart Cable - Purple
appliedenergistics2:part:51, ME Smart Cable - Blue
appliedenergistics2:part:52, ME Smart Cable - Brown
appliedenergistics2:part:53, ME Smart Cable - Green
appliedenergistics2:part:54, ME Smart Cable - Red
appliedenergistics2:part:55, ME Smart Cable - Black
appliedenergistics2:part:56, ME Smart Cable - Fluix
appliedenergistics2:part:420, ME Conversion Monitor
appliedenergistics2:part:360, ME Crafting Terminal
appliedenergistics2:part:200, Dark Illuminated Panel
appliedenergistics2:part:260, ME Export Bus
appliedenergistics2:part:320, ME Formation Plane
appliedenergistics2:part:301, ME Identity Annihilation Plane
appliedenergistics2:part:240, ME Import Bus
appliedenergistics2:part:440, ME Interface
appliedenergistics2:part:480, ME Interface Terminal
appliedenergistics2:part:100, ME Inverted Toggle Bus
appliedenergistics2:part:280, ME Level Emitter
appliedenergistics2:part:160, Bright Illuminated Panel
appliedenergistics2:part:465, P2P Tunnel - EU
appliedenergistics2:part:463, P2P Tunnel - Fluid
appliedenergistics2:part:462, P2P Tunnel - Item
appliedenergistics2:part:467, P2P Tunnel - Light
appliedenergistics2:part:460, P2P Tunnel - ME
appliedenergistics2:part:461, P2P Tunnel - Redstone
appliedenergistics2:part:340, ME Pattern Terminal
appliedenergistics2:part:140, Quartz Fiber
appliedenergistics2:part:180, Illuminated Panel
appliedenergistics2:part:220, ME Storage Bus
appliedenergistics2:part:400, ME Storage Monitor
appliedenergistics2:part:380, ME Terminal
appliedenergistics2:part:80, ME Toggle Bus
ae2stuff:Encoder, Pattern Encoder
ae2stuff:Grower, Crystal Growth Chamber
ae2stuff:Inscriber, Advanced Inscriber
ae2stuff:Wireless, Wireless Connector
ae2stuff:WirelessKit, Wireless Setup Kit
ae2stuff:Visualiser, Network Visualisation Tool
animania:block_mud, Mud
animania:block_trough, Trough
animania:invisiblock, Trough
animania:block_nest, Nest
animania:block_seeds, Seeds
animania:salt_lick:0, Salt Lick
animania:wool_dorset_brown, Wool (Dorset, Brown)
animania:wool_friesian_black, Wool (Friesian, Black)
animania:wool_friesian_brown, Wool (Friesian, Brown)
animania:wool_jacob, Wool (Jacob)
animania:wool_merino_brown, Wool (Merino, Brown)
animania:wool_merino_white, Wool (Merino, White)
animania:wool_suffolk_brown, Wool (Suffolk, Brown)
animania:hamster_food, Hamster Food
animania:truffle, Truffle
animania:bucket_slop, Bucket o' Slop
animania:carving_knife, Carving Knife
animania:cheese_mold, Cheese Mold
animania:friesian_bucket_milk, Bucket Milk (Friesian)
animania:holstein_bucket_milk, Bucket Milk (Holstein)
animania:goat_bucket_milk, Bucket Milk (Goat)
animania:sheep_bucket_milk, Bucket Milk (Sheep)
animania:blue_peacock_feather, Blue Peacock Feather
animania:white_peacock_feather, White Peacock Feather
animania:charcoal_peacock_feather, Charcoal Peacock Feather
animania:opal_peacock_feather, Opal Peacock Feather
animania:peach_peacock_feather, Peach Peacock Feather
animania:purple_peacock_feather, Purple Peacock Feather
animania:taupe_peacock_feather, Taupe Peacock Feather
animania:riding_crop, Riding Crop
animania:salt, Salt
animania:hamster_ball_clear, Clear Hamster Ball
animania:hamster_ball_black, Black Hamster Ball
animania:hamster_ball_red, Red Hamster Ball
animania:hamster_ball_green, Green Hamster Ball
animania:hamster_ball_brown, Brown Hamster Ball
animania:hamster_ball_blue, Blue Hamster Ball
animania:hamster_ball_purple, Purple Hamster Ball
animania:hamster_ball_cyan, Cyan Hamster Ball
animania:hamster_ball_light_gray, item.animania_hamster_ball_light_gray.name
animania:hamster_ball_gray, Gray Hamster Ball
animania:hamster_ball_pink, Pink Hamster Ball
animania:hamster_ball_lime, Lime Hamster Ball
animania:hamster_ball_yellow, Yellow Hamster Ball
animania:hamster_ball_light_blue, Light Blue Hamster Ball
animania:hamster_ball_magenta, Magenta Hamster Ball
animania:hamster_ball_orange, Orange Hamster Ball
animania:hamster_ball_white, White Hamster Ball
animania:super_omelette, Super Omelette
animania:truffle_omelette, Truffle Omelette
animania:bacon_omelette, Bacon Omelette
animania:cheese_omelette, Cheese Omelette
animania:plain_omelette, Plain Omelette
animania:truffle_soup, Truffle Soup
animania:chocolate_truffle, Chocolate Truffle
animania:raw_hereford_beef, Raw Beef (Hereford)
animania:raw_longhorn_beef, Raw Beef (Longhorn)
animania:raw_angus_beef, Raw Beef (Angus)
animania:raw_longhorn_steak, Raw Steak (Longhorn)
animania:raw_hereford_steak, Raw Steak (Hereford)
animania:raw_angus_steak, Raw Steak (Angus)
animania:cooked_longhorn_roast, Roast Beef (Longhorn)
animania:cooked_hereford_roast, Roast Beef (Hereford)
animania:cooked_angus_roast, Roast Beef (Angus)
animania:cooked_longhorn_steak, Cooked Steak (Longhorn)
animania:cooked_hereford_steak, Cooked Steak (Hereford)
animania:cooked_angus_steak, Cooked Steak (Angus)
animania:raw_prime_beef, Raw Prime Beef
animania:cooked_prime_beef, Roast Prime Beef
animania:raw_prime_steak, Raw Prime Steak
animania:cooked_prime_steak, Roast Prime Steak
animania:raw_large_black_pork, Raw Pork (Large Black)
animania:raw_duroc_pork, Raw Pork (Duroc)
animania:raw_old_spot_pork, Raw Pork (Old Spot)
animania:raw_hampshire_pork, Raw Pork (Hampshire)
animania:raw_large_black_bacon, Raw Bacon (Large Black)
animania:raw_duroc_bacon, Raw Bacon (Duroc)
animania:raw_old_spot_bacon, Raw Bacon (Old Spot)
animania:raw_hampshire_bacon, Raw Bacon (Hampshire)
animania:cooked_large_black_roast, Roast Pork (Large Black)
animania:cooked_duroc_roast, Roast Pork (Duroc)
animania:cooked_old_spot_roast, Roast Pork (Old Spot)
animania:cooked_hampshire_roast, Roast Pork (Hampshire)
animania:cooked_large_black_bacon, Bacon (Large Black)
animania:cooked_duroc_bacon, Bacon (Duroc)
animania:cooked_old_spot_bacon, Bacon (Old Spot)
animania:cooked_hampshire_bacon, Bacon (Hampshire)
animania:raw_prime_pork, Raw Prime Pork
animania:cooked_prime_pork, Roast Prime Pork
animania:raw_prime_bacon, Raw Prime Bacon
animania:cooked_prime_bacon, Roast Prime Bacon
animania:brown_egg, Egg
animania:peacock_egg_blue, Peafowl Egg
animania:peacock_egg_white, Peafowl Egg
animania:raw_orpington_chicken, Raw Chicken (Orpington)
animania:raw_plymouth_rock_chicken, Raw Chicken (Plymouth Rock)
animania:raw_wyandotte_chicken, Raw Chicken (Wyandotte)
animania:raw_rhode_island_red_chicken, Raw Chicken (Rhode Island Red)
animania:cooked_orpington_chicken, Roast Chicken (Orpington)
animania:cooked_plymouth_rock_chicken, Roast Chicken (Plymouth Rock)
animania:cooked_wyandotte_chicken, Roast Chicken (Wyandotte)
animania:cooked_rhode_island_red_chicken, Roast Chicken (Rhode Island Red)
animania:raw_prime_chicken, Raw Prime Chicken
animania:cooked_prime_chicken, Roast Prime Chicken
animania:raw_frog_legs, Raw Frog Legs
animania:cooked_frog_legs, Cooked Frog Legs
animania:raw_prime_mutton, Raw Prime Mutton
animania:cooked_prime_mutton, Cooked Prime Mutton
animania:raw_prime_rabbit, Raw Prime Rabbit
animania:cooked_prime_rabbit, Cooked Prime Rabbit
animania:raw_chevon, Raw Chevon
animania:cooked_chevon, Cooked Chevon
animania:raw_prime_chevon, Raw Prime Chevon
animania:cooked_prime_chevon, Cooked Prime Chevon
animania:friesian_cheese_wheel, Cheese Wheel (Friesian)
animania:holstein_cheese_wheel, Cheese Wheel (Holstein)
animania:goat_cheese_wheel, Cheese Wheel (Goat)
animania:sheep_cheese_wheel, Cheese Wheel (Sheep)
animania:friesian_cheese_wedge, Cheese Wedge (Friesian)
animania:holstein_cheese_wedge, Cheese Wedge (Holstein)
animania:goat_cheese_wedge, Cheese Wedge (Goat)
animania:sheep_cheese_wedge, Cheese Wedge (Sheep)
animania:entity_egg_random, Random Animal
animania:entity_egg_calf_holstein, Holstein Calf
animania:entity_egg_cow_holstein, Holstein Cow
animania:entity_egg_bull_holstein, Holstein Bull
animania:entity_egg_calf_friesian, Friesian Calf
animania:entity_egg_cow_friesian, Friesian Cow
animania:entity_egg_bull_friesian, Friesian Bull
animania:entity_egg_calf_angus, Angus Calf
animania:entity_egg_cow_angus, Angus Cow
animania:entity_egg_bull_angus, Angus Bull
animania:entity_egg_calf_longhorn, Longhorn Calf
animania:entity_egg_cow_longhorn, Longhorn Cow
animania:entity_egg_bull_longhorn, Longhorn Bull
animania:entity_egg_calf_hereford, Hereford Calf
animania:entity_egg_cow_hereford, Hereford Cow
animania:entity_egg_bull_hereford, Hereford Bull
animania:entity_egg_cow_random, Random Cow
animania:entity_egg_chick_plymouth, Plymouth Rock Chick
animania:entity_egg_hen_plymouth, Plymouth Rock Hen
animania:entity_egg_rooster_plymouth, Plymouth Rock Rooster
animania:entity_egg_chick_leghorn, Leghorn Chick
animania:entity_egg_hen_leghorn, Leghorn Hen
animania:entity_egg_rooster_leghorn, Leghorn Rooster
animania:entity_egg_chick_orpington, Orpington Chick
animania:entity_egg_hen_orpington, Orpington Hen
animania:entity_egg_rooster_orpington, Orpington Rooster
animania:entity_egg_chick_red, Rhode Island Red Chick
animania:entity_egg_hen_red, Rhode Island Red Hen
animania:entity_egg_rooster_red, Rhode Island Red Rooster
animania:entity_egg_chick_wyandotte, Wyandotte Chick
animania:entity_egg_hen_wyandotte, Wyandotte Hen
animania:entity_egg_rooster_wyandotte, Wyandotte Rooster
animania:entity_egg_chicken_random, Random Chicken
animania:entity_egg_peachick_blue, India Blue Peachick
animania:entity_egg_peafowl_blue, India Blue Peahen
animania:entity_egg_peacock_blue, India Blue Peacock 
animania:entity_egg_peachick_taupe, Taupe Peachick
animania:entity_egg_peafowl_taupe, Taupe Peahen
animania:entity_egg_peacock_taupe, Taupe Peacock 
animania:entity_egg_peachick_white, White Peachick
animania:entity_egg_peafowl_white, White Peahen
animania:entity_egg_peacock_white, White Peacock 
animania:entity_egg_peachick_charcoal, Charcoal Peachick
animania:entity_egg_peafowl_charcoal, Charcoal Peahen
animania:entity_egg_peacock_charcoal, Charcoal Peacock 
animania:entity_egg_peachick_opal, Opal Peachick
animania:entity_egg_peafowl_opal, Opal Peahen
animania:entity_egg_peacock_opal, Opal Peacock 
animania:entity_egg_peachick_peach, Peach Peachick
animania:entity_egg_peafowl_peach, Peach Peahen
animania:entity_egg_peacock_peach, Peach Peacock 
animania:entity_egg_peachick_purple, Purple Peachick
animania:entity_egg_peafowl_purple, Purple Peahen
animania:entity_egg_peacock_purple, Purple Peacock 
animania:entity_egg_peacock_random, Random Peacock
animania:entity_egg_piglet_yorkshire, American Yorkshire Piglet
animania:entity_egg_sow_yorkshire, American Yorkshire Sow
animania:entity_egg_hog_yorkshire, American Yorkshire Hog
animania:entity_egg_piglet_oldspot, Old Spot Piglet
animania:entity_egg_sow_oldspot, Old Spot Sow
animania:entity_egg_hog_oldspot, Old Spot Hog
animania:entity_egg_piglet_largeblack, Large Black Piglet
animania:entity_egg_sow_largeblack, Large Black Sow
animania:entity_egg_hog_largeblack, Large Black Hog
animania:entity_egg_piglet_largewhite, Large White Piglet
animania:entity_egg_sow_largewhite, Large White Sow
animania:entity_egg_hog_largewhite, Large White Hog
animania:entity_egg_piglet_duroc, Duroc Piglet
animania:entity_egg_sow_duroc, Duroc Sow
animania:entity_egg_hog_duroc, Duroc Hog
animania:entity_egg_piglet_hampshire, Hampshire Piglet
animania:entity_egg_sow_hampshire, Hampshire Sow
animania:entity_egg_hog_hampshire, Hampshire Hog
animania:entity_egg_pig_random, Random Pig
animania:entity_egg_hamster, Hamster
animania:entity_egg_ferret_grey, Grey Ferret
animania:entity_egg_ferret_white, White Ferret
animania:entity_egg_hedgehog, Hedgehog
animania:entity_egg_hedgehog_albino, Albino Hedgehog
animania:entity_egg_frog, Frog
animania:entity_egg_toad, Toad
animania:entity_egg_dart_frog, Tree Frog
animania:entity_egg_draft_horse_stallion, Draft Horse Stallion
animania:entity_egg_draft_horse_mare, Draft Horse Mare
animania:entity_egg_draft_horse_foal, Draft Horse Foal
animania:entity_egg_kid_alpine, Alpine Kid
animania:entity_egg_buck_alpine, Alpine Buck 
animania:entity_egg_doe_alpine, Alpine Doe
animania:entity_egg_kid_angora, Angora Kid
animania:entity_egg_buck_angora, Angora Buck 
animania:entity_egg_doe_angora, Angora Doe
animania:entity_egg_kid_fainting, Fainting Kid
animania:entity_egg_buck_fainting, Fainting Buck 
animania:entity_egg_doe_fainting, Fainting Doe
animania:entity_egg_kid_kiko, Kiko Kid
animania:entity_egg_buck_kiko, Kiko Buck 
animania:entity_egg_doe_kiko, Kiko Doe
animania:entity_egg_kid_kinder, Kinder Kid
animania:entity_egg_buck_kinder, Kinder Buck 
animania:entity_egg_doe_kinder, Kinder Doe
animania:entity_egg_kid_nigeriandwarf, Nigerian Dwarf Kid
animania:entity_egg_buck_nigeriandwarf, Nigerian Dwarf Buck 
animania:entity_egg_doe_nigeriandwarf, Nigerian Dwarf Doe
animania:entity_egg_kid_pygmy, Pygmy Kid
animania:entity_egg_buck_pygmy, Pygmy Buck 
animania:entity_egg_doe_pygmy, Pygmy Doe
animania:entity_egg_goat_random, Random Goat
animania:entity_egg_ram_friesian, Friesian Ram
animania:entity_egg_ewe_friesian, Friesian Ewe
animania:entity_egg_lamb_friesian, Friesian Lamb
animania:entity_egg_ram_suffolk, Suffolk Ram
animania:entity_egg_ewe_suffolk, Suffolk Ewe
animania:entity_egg_lamb_suffolk, Suffolk Lamb
animania:entity_egg_ram_dorper, Dorper Ram
animania:entity_egg_ewe_dorper, Dorper Ewe
animania:entity_egg_lamb_dorper, Dorper Lamb
animania:entity_egg_ram_dorset, Dorset Ram
animania:entity_egg_ewe_dorset, Dorset Ewe
animania:entity_egg_lamb_dorset, Dorset Lamb
animania:entity_egg_ram_jacob, Jacob Ram
animania:entity_egg_ewe_jacob, Jacob Ewe
animania:entity_egg_lamb_jacob, Jacob Lamb
animania:entity_egg_ram_merino, Merino Ram
animania:entity_egg_ewe_merino, Merino Ewe
animania:entity_egg_lamb_merino, Merino Lamb
animania:entity_egg_sheep_random, Random Sheep
animania:entity_egg_buck_cottontail, Cottontail Buck
animania:entity_egg_doe_cottontail, Cottontail Doe
animania:entity_egg_kit_cottontail, Cottontail Kit
animania:entity_egg_buck_chinchilla, Chinchilla Buck
animania:entity_egg_doe_chinchilla, Chinchilla Doe
animania:entity_egg_kit_chinchilla, Chinchilla Kit
animania:entity_egg_buck_dutch, Dutch Buck
animania:entity_egg_doe_dutch, Dutch Doe
animania:entity_egg_kit_dutch, Dutch Kit
animania:entity_egg_buck_havana, Havana Buck
animania:entity_egg_doe_havana, Havana Doe
animania:entity_egg_kit_havana, Havana Kit
animania:entity_egg_buck_jack, Jack Buck
animania:entity_egg_doe_jack, Jack Doe
animania:entity_egg_kit_jack, Jack Kit
animania:entity_egg_buck_lop, Lop Buck
animania:entity_egg_doe_lop, Lop Doe
animania:entity_egg_kit_lop, Lop Kit
animania:entity_egg_buck_newzealand, New Zealand Buck
animania:entity_egg_doe_newzealand, New Zealand Doe
animania:entity_egg_kit_newzealand, New Zealand Kit
animania:entity_egg_buck_rex, Rex Buck
animania:entity_egg_doe_rex, Rex Doe
animania:entity_egg_kit_rex, Rex Kit
animania:entity_egg_rabbit_random, Random Rabbit
aquaculture:fishing_rod, Wooden Fishing Rod
aquaculture:iron_fishing_rod, Iron Fishing Rod
aquaculture:gold_fishing_rod, Golden Fishing Rod
aquaculture:diamond_fishing_rod, Diamond Fishing Rod
aquaculture:admin_fishing_rod, Admin Fishing Rod
aquaculture:loot:0, Driftwood
aquaculture:loot:1, Neptunium Ingot
aquaculture:loot:2, Tin Can
aquaculture:loot:3, Message In A Bottle
aquaculture:loot:4, Box
aquaculture:loot:5, Lockbox
aquaculture:loot:6, Treasure Chest
aquaculture:loot:7, Neptune's Bounty
aquaculture:food:0, Seaweed
aquaculture:food:1, Algae
aquaculture:food:2, Raw Whale Steak
aquaculture:food:3, Raw Fish Fillet
aquaculture:food:4, Cooked Fish Fillet
aquaculture:food:5, Cooked Whale Steak
aquaculture:food:6, Cooked Whale Burger
aquaculture:food:7, Frog Legs
aquaculture:food:8, Cooked Frog Legs
aquaculture:food:9, Turtle Soup
aquaculture:food:10, Sushi
aquaculture:neptunium_pickaxe, Neptunium Pickaxe
aquaculture:neptunium_shovel, Neptunium Shovel
aquaculture:neptunium_axe, Neptunium Axe
aquaculture:neptunium_hoe, Neptunium Hoe
aquaculture:neptunium_sword, Neptunium Sword
aquaculture:neptunium_helmet, Neptunium Helmet
aquaculture:neptunium_chestplate, Neptunium Chestplate
aquaculture:neptunium_leggings, Neptunium Leggings
aquaculture:neptunium_boots, Neptunium Boots
aquaculture:fish:0, Bluegill
aquaculture:fish:1, Perch
aquaculture:fish:2, Gar
aquaculture:fish:3, Bass
aquaculture:fish:4, Muskellunge
aquaculture:fish:5, Brown Trout
aquaculture:fish:6, CatFish
aquaculture:fish:7, Carp
aquaculture:fish:8, Blowfish
aquaculture:fish:9, Red Grouper
aquaculture:fish:10, Salmon
aquaculture:fish:11, Tuna
aquaculture:fish:12, Sword Fish
aquaculture:fish:13, Shark
aquaculture:fish:14, Whale
aquaculture:fish:15, Squid
